,회사명,직무명,채용공고명,주요업무,자격요건,우대사항,기술스택
872,스텝페이,웹 개발자,백엔드 개발자 (5년차 이상),"[이런 서비스를 함께 만들어요]

- 정기 결제 스케쥴러부터 과금을 위한 요금제 구성, 상품 관리, 주문 등 구독 서비스를 위해선 만들어야 하는 것이 매우 많습니다. 스텝페이는 구독 서비스에 필요한 기능을 API 및 커머스 형태로 제공하여 구독 서비스 개발에 소요되는 기간을 획기적으로 줄여줍니다.

- 개발자에겐 유연한 API로 빠르고 자유로운 개발을, 비개발자에게는 개발 없이도 30분 만에 판매 가능한 쉽고 다양한 기능을 제공하는 것에 함께합니다.

[백엔드 개발자는 이런 일을 함께 합니다]

- 구독결제와 이커머스가 결합된 SaaS 플랫폼 개발
- PG과 연계된 결제 서비스 개발
- 위의 기능을 3rd party에 제공할 API 또는 SDK 개발



[스텝페이 개발팀은 이렇게 일합니다]

- 매주 금요일마다, 코드 리뷰: 아무리 바빠도 꼭! 금요일마다 코드 리뷰 시간을 갖습니다. 각자 일주일간 진행한 작업 내역을 공유하며, 어떤 방향으로 나아가면 더 좋을지 자유롭게 의견을 교류합니다. 이 과정에서 개발팀 내에서 다양한 관점과 방법을 모색할 수 있습니다. 매주 이 과정을 반복하여 점점 더 성장해나갑니다. 

- OKR 팀 단위로 자율적으로 움직입니다: 프로젝트에 맞춰 개발자, 기획자, 디자이너가 모인 OKR 팀이 구성됩니다. 팀 내에서 자율적으로 달성하려는 목표를 설정합니다. OKR 팀은 정책 설정 및 기획부터 개발, 배포의 처음부터 끝 단계까지 함께 진행합니다. 2~4주 단위의 팀제로 누구든 의견을 개진하며 일할 수 있습니다.

- 이것저것 도전해 볼 수 있는 곳: 새로운 툴, 새로운 언어에 대해 거리낌 없이 도전하고 의견을 낼 수 있습니다. 최근에는 QA 고도화를 위해서 Cucumber를 도입하여 유저 스토리에 따른 테스트 코드 일원화를 적용해보고 있습니다. 



[스텝페이 개발팀의 얘기를 듣고 싶어요]
- Gun/풀스택: 스텝페이에선 거대한 플랫폼을 작은 부분부터 채워가며 시스템을 갖춰나가는 중이에요. 최신 트렌드, 시스템 아키텍쳐 등에 관심이 있다면 재밌게 일하면서 좋은 경험 쌓으실 수 있어요!

- Jung/프론트 및 백엔드: 스텝페이에서는 최신 프레임워크 및 최신 기술을 사용하여 개발 할 수 있는 장점이 있어요. 그리고 다양한 팀원과 함께 코드리뷰하며 성장 할 수 있다고요!

- Hoon/프론트엔드: 다양한 팀원들과 다양한 개발 관련 얘기를 나누면서 놓칠 수 있는 부분들을 채워나갈 수 있고, 또한 최신 기술들을 적용하면서 많은 경험을 쌓을 수 있어요. 성장하고자 하는 의지, 열정만 있으면 생각했던 것 이상으로 성장할 수 있어요!



[전형 절차]
- 서류전형 - 개발자 퀴즈 전형 (온라인 1차) - 최종 인터뷰 (2차 퀴즈 + 인성 면접) 
- 인터뷰는 서로를 알아가는 자리이므로 적극적으로 궁금한 점은 마음껏 물어봐 주세요! 
- 기다리는 건 애타니까 모든 지원자에게 1주일 이내 결과를 전달드립니다.
- 서로에 대해 잘 알아보기 위해 입사 후 3개월 수습 기간이 있습니다.
- 연봉 및 스톡옵션 협의 가능합니다.
- 사무실은 출퇴근길, 점심 식사 후 산책하면서 아름다운 벚꽃과 여의도 공원 풍경을 즐길 수 있는 곳에 위치하고 있습니다 :)","- Springboot, Gradle 등 관련 생태계에 관심이 많은 분
- SQL, ORM의 특성을 알고 적절히 사용할 수 있는 분
- 서비스에 적합한 데이터 모델을 설계하고 실 서비스 적용 할 수 있는 분","- 국내PG, 해외PG, VAN, 간편결제 등 관련 유경험자
- keycloak 유경험자 또는 OAuth 시스템 구축 유경험자
- 프레임워크 사용 경험이 풍부하여 새로운 프레임워크에 쉽게 적응 가능한 분
- 필요한 API를 요청 받았을 때 바로 쿼리 방법이 떠오르는 분
- 테스트 코드 작성에 능숙하며, CI/CD를 활용한 MSA 구조 설계 경험이 있으신 분
- TensorFlow, Keras, PyTorch 등 머신러닝 프레임워크를 사용해보신 분
- 새로운 머신러닝 이론에 관심이 많아서 한 번씩 실행해보시는 분
- 컨테이너 기반 서비스 운영 경험이 있는 분",
875,클라모스,웹 개발자,Java Spring 개발자,• 웹포털 구축,"• Java Spring boot 개발 경험
• Java Spring Framework 기반의 웹 서비스 개발 경험
• Rest 서비스 구현 가능
• DB쿼리 작업 가능
• 전자정부프레임워크 경험 우대","• 정보처리기사 또는 이에 준하는 자격증을 소지한 분
• 형상 관리 시스템(Git) 사용에 익숙한 분
• 유관업무 경험자(인턴/알바)
• 관련 학과 전공
• 적극적으로 동료들과 소통하고 책임감이 높은 분",Python
891,엔에스에이치씨(NSHC),웹 개발자,서버 개발자,"• 모바일 보안 솔루션 관련 서버 사이트를 개발합니다.
• SaaS형태로 서비스를 하고 있습니다.","• 서버 컴포넌트 개발 및 SW 설계
•JAVA 기반 응용 솔루션 개발 경험자
•HTML5, JSP, Java / SpringFramework 등 / MS-SQL 등 DBMS 개발 경험자","• netty framework 유 경험자(우대)
• RabbitMQ 유 경험자(우대)
• AWS 기반 서비스 개발 및 운영 경험자(우대)",
962,보딩패스,웹 개발자,백엔드 개발자,"• 커머스 모바일 앱 개발
• 커머스 모바일 앱을 위한 백엔드 API 개발
• 퍼포먼스와 스케일러블 이슈에 대해 인식하고 해결","• NestJS 기반의 RESTful API 설계 및 구현 경험
• AWS 환경을 기반으로 한 서비스 설계 및 구축 경험
• 데이터베이스 : MySQL
• 코드관리 : Github
• 커뮤니케이션 : Slack, Notion, Jira","• 커머스 앱 혹은 서비스를 개발해보신 경험이 있는 분
• 주문/결제/정산/배송 등 E-commerce 기반의 플랫폼을 운영해보신 경험이 있는 분
• 더 나은 개발환경을 구축하기 위해 노력하시는 분 (테스팅, 클린코드, CI 구축, Dockerize, etc.)
• 오픈소스 활동을 지향하는 분
• 이론보단 실전에 강하신 분","Git
Github
MySQL
AWS
Spring Framework"
973,한국투자증권,웹 개발자,프레임워크 개발 및 운영,"- Web/WAS 운영/개발 
- Java Application 운영/개발
- OpenAPI 및 포털 운영/개발","- Web/WAS 개발 능력(중급 이상)
- Java 개발 능력(중급 이상)","Java 및 Web 개발에 자신 있는분
Web/WAS 프로젝트 구축 경험자
OpenSource 솔루션 설치/운영 가능","Android
Kotlin"
974,한국투자증권,웹 개발자,회계시스템 개발,재무회계 / IFRS9 / 관리회계 시스템 관리,"java, XplatForm, Oracle(sql) 개발 경험","- 증권, 은행 등 금융 업무 환경 경험자 우대
- 회계업무 개발 및 운영 경험자 우대","Android
Kotlin"
992,누아,웹 개발자,웹(Web) 백엔드 개발자,"• 예약 관리 시스템 개발
• 차세대 여행 플랫폼 기술 서비스 연동
• 항공권 예약 서비스 개발
• 항공권 검색 엔진 개발","• Java, Spring Framework 개발 경험
• Web 서비스 개발 경험
• 논리적 사고와 문제해결 능력","• 항공, 숙박 등 예약 플랫폼 연동 개발 경험
• 새로운 언어 및 개발에 대한 흥미와 도전정신","MXNET
Pytorch
Tensorflow"
1021,아키드로우,웹 개발자,[아키스케치] 백엔드 개발자,"- 아키스케치 서비스 API 백엔드 개발
- 아키스케치 서비스 배포 및 고도화","- 리눅스, 웹, 네트워크, 데이터베이스, 알고리즘, 자료구조 등 CS 기본 지식 보유
- Java, Shell script, javascript 등 언어 사용
- Spring Framework를 통한 API 서버 개발 및 Rest API에 대한 개발 경험 보유자
- Github 등 개발 협업 도구 사용 경험

*** 포트폴리오를 지원하실때 반드시 첨부해주세요","- Cloud(AWS, Azure) 기반 시스템 개발 및 운영 경험
- Docker 활용한 MSA 아키텍쳐 설계 및 개발 경험자
- ELK를 이용한 로그 수집, 데이터 처리/분석 시스템 구축 경험자
- Jenkins, Git action 등 CI/CD 도구 사용 경험
- Serverless(AWS Lambda) 개발 및 운영 경험 
- 대용량 트래픽 서비스 운영 경험","AWS
Spring Framework"
1045,롯데정보통신,웹 개발자,온라인채널 Java/Web 개발자,"• Back-end API / Web개발자
• e-커머스 및 B2C 업무 운영 유지보수 및 SI Web개발자","• B2C 비즈니스를 잘 이해하고 원활한 소통 능력 보유자
• e-커머스 관련 개발 경험 보유
• Java 언어 사용 경험, Spring, Spring Boot의 높은 이해도
• Oracle, My-SQL, Aurora, Redis, S3등 사용 검험","• 주문, 상품, 클레임 등 Core업무 유경험자 및 프로세스 설계 가능자 우대","Linux
Python
Shell
Windows 서버
AIX"
1099,지씨,웹 개발자,웹 GIS 개발자(웹페이지 퍼블리셔 및 디자인),SI사업에서 웹페이지 퍼블리셔 및 디자인,"＜본사업에서 사용할 개발환경＞
   - 전자정부표준프레임워크
   - 프론트엔드 : javascript (es6이상), vuejs, css   
   - 백엔드 : java, spring boot, 전자정부, postgreSQL   
   - 기타 : C#, C++, MFC, node.js, 파이썬 등
   - 서버 : 리눅스, 도커, 카프카 등",SI사업에서 웹페이지 퍼블리셔 및 디자인 유경험자,"Linux
VueJS
C / C++
C#
CSS
JavaScript
Python
Docker
PostgreSQL
NodeJS
MFC
Spring Boot
전자정부프레임워크"
